No.,Sign,From (Deg/Min/Sec),To (Deg/Min/Sec),Sign Lord,Star Lord,Sub Lord
1,Aries,00°00'00",00°46'40",Mars,Ketu,Ketu
2,Aries,00°46'40",03°00'00",Mars,Ketu,Venus
3,Aries,03°00'00",03°40'00",Mars,Ketu,Sun
4,Aries,03°40'00",04°46'40",Mars,Ketu,Moon
5,Aries,04°46'40",05°33'20",Mars,Ketu,Mars
6,Aries,05°33'20",07°33'20",Mars,Ketu,Rahu
7,Aries,07°33'20",09°20'00",Mars,Ketu,Jupiter
8,Aries,09°20'00",11°26'40",Mars,Ketu,Saturn
9,Aries,11°26'40",13°20'00",Mars,Ketu,Mercury
10,Aries,13°20'00",15°33'20",Mars,Venus,Venus
11,Aries,15°33'20",16°13'20",Mars,Venus,Sun
12,Aries,16°13'20",17°20'00",Mars,Venus,Moon
13,Aries,17°20'00",18°06'40",Mars,Venus,Mars
14,Aries,18°06'40",20°06'40",Mars,Venus,Rahu
15,Aries,20°06'40",21°53'20",Mars,Venus,Jupiter
16,Aries,21°53'20",24°00'00",Mars,Venus,Saturn
17,Aries,24°00'00",25°53'20",Mars,Venus,Mercury
18,Aries,25°53'20",26°40'00",Mars,Venus,Ketu
19,Aries,26°40'00",27°20'00",Mars,Sun,Sun
20,Aries,27°20'00",28°26'40",Mars,Sun,Moon
21,Aries,28°26'40",29°13'20",Mars,Sun,Mars
22,Aries,29°13'20",30°00'00",Mars,Sun,Rahu
23,Taurus,00°00'00",01°13'20",Venus,Sun,Rahu
24,Taurus,01°13'20",03°00'00',Venus,Sun,Jupiter
25,Taurus,03°00'00",05°06'40",Venus,Sun,Saturn
26,Taurus,05°06'40",07°00'00",Venus,Sun,Mercury
27,Taurus,07°00'00",07°46'40",Venus,Sun,Ketu
28,Taurus,07:46'40",10°00'00",Venus,Sun,Venus
29,Taurus,10°00'00",11°06'40",Venus,Moon,Moon
30,Taurus,11°06'40",11°53'20",Venus,Moon,Mars
31,Taurus,11°53'20",13°53'20",Venus,Moon,Rahu
32,Taurus,13°53'20",15°40'00",Venus,Moon,Jupiter
33,Taurus,15°40'00",17°46'40",Venus,Moon,Saturn
34,Taurus,17°46'40",19°40'00",Venus,Moon,Mercury
35,Taurus,19°40'00",20°26'40",Venus,Moon,Ketu
36,Taurus,20°26'40",22°40'00",Venus,Moon,Venus
37,Taurus,22°40'00",23°20'00",Venus,Moon,Sun
38,Taurus,23°20'00",24°06:40",Venus,Mars,Mars
39,Taurus,24°06'40",26°06'40",Venus,Mars,Rahu
40,Taurus,26°06'40",27°53'20",Venus,Mars,Jupiter
41,Taurus,27°53'20",30°00'00",Venus,Mars,Saturn
42,Gemini,00°00'00",01°53'20",Mercury,Mars,Mercury
43,Gemini,01°53'20",02°40'00",Mercury,Mars,Ketu
44,Gemini,02°40'00",04°53'20",Mercury,Mars,Venus
45,Gemini,04°53'20",05°33'20",Mercury,Mars,Sun
46,Gemini,05°33'20",06°40'00",Mercury,Mars,Moon
47,Gemini,06°40'00",08°40'00",Mercury,Rahu,Rahu
48,Gemini,08°40'00",10°26'40",Mercury,Rahu,Jupiter
49,Gemini,10°26'40",12°33'20",Mercury,Rahu,Saturn
50,Gemini,12°33'20,14°26'40",Mercury,Rahu,Mercury
51,Gemini,14°26'40",15°13'20",Mercury,Rahu,Ketu
52,Gemini,15°13'20",17°26'40",Mercury,Rahu,Venus
53,Gemini,17°26'40",18°06'40",Mercury,Rahu,Sun
54,Gemini,18°06'40",19°13'20",Mercury,Rahu,Moon
55,Gemini,19°13'20",20°00'00",Mercury,Rahu,Mars
56,Gemini,20°00'00",21°46'40",Mercury,Jupiter,Jupiter
57,Gemini,21°46'40",23°53'20",Mercury,Jupiter,Saturn
58,Gemini,23°53'20",25°46'40",Mercury,Jupiter,Mercury
59,Gemini,25°46'40",26°33'20",Mercury,Jupiter,Ketu
60,Gemini,26°33'20",28°46'40",Mercury,Jupiter,Venus
61,Gemini,28°46'40",29°26'40",Mercury,Jupiter,Sun
62,Gemini,29°26'40",30°00'00",Mercury,Jupiter,Moon
63,Cancer,00°00'00",00°33'20",Moon,Jupiter,Moon
64,Cancer,00°33'20",01°20'00",Moon,Jupiter,Mars
65,Cancer,01°20'00",03°20'00",Moon,Jupiter,Rahu
66,Cancer,03°20'00",05°26'40",Moon,Saturn,Saturn
67,Cancer,05°26'40",07°20'00",Moon,Saturn,Mercury
68,Cancer,07°20'00",08°06'40",Moon,Saturn,Ketu
69,Cancer,08°06'40",10°20'00",Moon,Saturn,Venus
70,Cancer,10°20'00",11°00'00',Moon,Saturn,Sun
71,Cancer,11°00'00',12°06'40',Moon,Saturn,Moon
72,Cancer,12°06'40',12°53'20",Moon,Saturn,Mars
73,Cancer,12°53'20",14°53'20",Moon,Saturn,Rahu
74,Cancer,14°53'20",16°40'00",Moon,Saturn,Jupiter
75,Cancer,16°40'00",18°33'21",Moon,Mercury,Mercury
76,Cancer,18°33'21",19°20'00",Moon,Mercury,Ketu
77,Cancer,19°20'00",21°33'20",Moon,Mercury,Venus
78,Cancer,21°33'20",22°13'20",Moon,Mercury,Sun
79,Cancer,22°13'20",23°20'00,Moon,Mercury,Moon
80,Cancer,23°20'00,24°06'40",Moon,Mercury,Mars
81,Cancer,24°06'40",26°06'40",Moon,Mercury,Rahu
82,Cancer,26°06'40",27°53'20",Moon,Mercury,Jupiter
83,Cancer,27°53'20",30°00'00",Moon,Mercury,Saturn
84,Leo,00°00'00",00°46'40",Sun,Ketu,Ketu
85,Leo,00°46'40",03°00'00",Sun,Ketu,Venus
86,Leo,03°00'00",03°40'00",Sun,Ketu,Sun
87,Leo,03°40'00",04°46'40',Sun,Ketu,Moon
88,Leo,04°46'40',05°33'20",Sun,Ketu,Mars
89,Leo,05°33'20",07°33'20",Sun,Ketu,Rahu
90,Leo,07°33'20",09°20'00",Sun,Ketu,Jupiter
91,Leo,09°20'00",11°26'40",Sun,Ketu,Saturn
92,Leo,11°26'40",13°20'00",Sun,Ketu,Mercury
93,Leo,13°20'00",15°33'20",Sun,Venus,Venus
94,Leo,15°33'20",16°13'20",Sun,Venus,Sun
95,Leo,16°13'20",17°20'00",Sun,Venus,Moon
96,Leo,17°20'00",18°06'40",Sun,Venus,Mars
97,Leo,18°06'40",20°06'40",Sun,Venus,Rahu
98,Leo,20°06'40",21°53'20",Sun,Venus,Jupiter
99,Leo,21°53'20",24°00'00",Sun,Venus,Saturn
100,Leo,24°00'00",25°53'20",Sun,Venus,Mercury
101,Leo,25°53'20",26°40'00",Sun,Venus,Ketu
102,Leo,26°40'00",27°20'00",Sun,Sun,Sun
103,Leo,27°20'00",28°26'40",Sun,Sun,Moon
104,Leo,28°26'40",29°13'20",Sun,Sun,Mars
105,Leo,29°13'20",30°00'00",Sun,Sun,Rahu
106,Virgo,00°00'00",01°13'20",Mercury,Sun,Rahu
107,Virgo,01°13'20",03°00'00",Mercury,Sun,Jupiter
108,Virgo,03°00'00",05°06'40",Mercury,Sun,Saturn
109,Virgo,05°06'40",07°00'00",Mercury,Sun,Mercury
110,Virgo,07°00'00",07°46'40",Mercury,Sun,Ketu
111,Virgo,07°46'40",10°00'00",Mercury,Sun,Venus
112,Virgo,10°00'00",11°06'40",Mercury,Moon,Moon
113,Virgo,11°06'40",11°53'20",Mercury,Moon,Mars
114,Virgo,11°53'20",13°53'20",Mercury,Moon,Rahu
115,Virgo,13°53'20",15°40'00",Mercury,Moon,Jupiter
116,Virgo,15°40'00",17°46'40",Mercury,Moon,Saturn
117,Virgo,17°46'40",19°40'00",Mercury,Moon,Mercury
118,Virgo,19°40'00",20°26'40",Mercury,Moon,Ketu
119,Virgo,20°26'40",22°40'00",Mercury,Moon,Venus
120,Virgo,22°40'00",23°20'00",Mercury,Moon,Sun
121,Virgo,23°20'00",24°06'40",Mercury,Mars,Mars
122,Virgo,24°06'40",26°06'40",Mercury,Mars,Rahu
123,Virgo,26°06'40",27°53'20",Mercury,Mars,Jupiter
124,Virgo,27°53'20",30°00'00",Mercury,Mars,Saturn
125,Libra,00°00'00",01°53'20",Venus,Mars,Mercury
126,Libra,01°53'20",02°40'00",Venus,Mars,Ketu
127,Libra,02°40'00",04°53'20",Venus,Mars,Venus
128,Libra,04°53'20",05°33'20",Venus,Mars,Sun
129,Libra,05°33'20",06°40'00",Venus,Mars,Moon
130,Libra,06°40'00",08°40'00',Venus,Rahu,Rahu
131,Libra,08°40'00',10°26'40",Venus,Rahu,Jupiter
132,Libra,10°26'40",12°33'20",Venus,Rahu,Saturn
133,Libra,12°33'20",14°26'40",Venus,Rahu,Mercury
134,Libra,14°26'40",15°13'20",Venus,Rahu,Ketu
135,Libra,15°13'20",17°26'40",Venus,Rahu,Venus
136,Libra,17°26'40",18°06'40",Venus,Rahu,Sun
137,Libra,18°06'40",19°13'20",Venus,Rahu,Moon
138,Libra,19°13'20",20°00'00",Venus,Rahu,Mars
139,Libra,20°00'00",21°46'40",Venus,Jupiter,Jupiter
140,Libra,21°46'40",23°53'20",Venus,Jupiter,Saturn
141,Libra,23°53'20",25°46'40",Venus,Jupiter,Mercury
142,Libra,25°46'40",26°33'20",Venus,Jupiter,Ketu
143,Libra,26°33'20",28°46'40",Venus,Jupiter,Venus
144,Libra,28°46'40",29°26'40",Venus,Jupiter,Sun
145,Libra,29°26'40",30°00'00",Venus,Jupiter,Moon
146,Scorpio,00°00'00",00°33'20",Mars,Jupiter,Moon
147,Scorpio,00°33'20",01°20'00",Mars,Jupiter,Mars
148,Scorpio,01°20'00",03°20'00",Mars,Jupiter,Rahu
149,Scorpio,03°20'00",05°26'40",Mars,Saturn,Saturn
150,Scorpio,05°26'40",07°20'00",Mars,Saturn,Mercury
151,Scorpio,07°20'00",08°06'40",Mars,Saturn,Ketu
152,Scorpio,08°06'40",10°20'00",Mars,Saturn,Venus
153,Scorpio,10°20'00",11°00'00",Mars,Saturn,Sun
154,Scorpio,11°00'00",12°06'40",Mars,Saturn,Moon
155,Scorpio,12°06'40",12°53'20",Mars,Saturn,Mars
156,Scorpio,12°53'20",14°53'20",Mars,Saturn,Rahu
157,Scorpio,14°53'20",16°40'00",Mars,Saturn,Jupiter
158,Scorpio,16°40'00",18°33'20",Mars,Mercury,Mercury
159,Scorpio,18°33'20",19°20'00",Mars,Mercury,Ketu
160,Scorpio,19°20'00",21°33'20",Mars,Mercury,Venus
161,Scorpio,21°33'20",22°13'20",Mars,Mercury,Sun
162,Scorpio,22°13'20",23°20'00",Mars,Mercury,Moon
163,Scorpio,23°20'00",24°06'40",Mars,Mercury,Mars
164,Scorpio,24°06'40",26°06'40",Mars,Mercury,Rahu
165,Scorpio,26°06'40",27°53'20",Mars,Mercury,Jupiter
166,Scorpio,27°53'20",30°00'00",Mars,Mercury,Saturn
167,Sagittarius,00°00'00",00°46'40",Jupiter,Ketu,Ketu
168,Sagittarius,00°46'40,03°00'00",Jupiter,Ketu,Venus
169,Sagittarius,03°00'00",03°40'00",Jupiter,Ketu,Sun
170,Sagittarius,03°40'00",04°46'40",Jupiter,Ketu,Moon
171,Sagittarius,04°46'40",05°53'20",Jupiter,Ketu,Mars
172,Sagittarius,05°53'20",07°33'20",Jupiter,Ketu,Rahu
173,Sagittarius,07°33'20",09°20'00",Jupiter,Ketu,Jupiter
174,Sagittarius,09°20'00",11°26'40",Jupiter,Ketu,Saturn
175,Sagittarius,11°26'40",13°20'00",Jupiter,Ketu,Mercury
176,Sagittarius,13°20'00",15°33'20",Jupiter,Venus,Venus
177,Sagittarius,15°33'20",16°13'20",Jupiter,Venus,Sun
178,Sagittarius,16°13'20",17°20'00",Jupiter,Venus,Moon
179,Sagittarius,17°20'00",18°06'40",Jupiter,Venus,Mars
180,Sagittarius,18°06'40",20°06'40",Jupiter,Venus,Rahu
181,Sagittarius,20°06'40",21°53'20",Jupiter,Venus,Jupiter
182,Sagittarius,21°53'20",24°00'00",Jupiter,Venus,Saturn
183,Sagittarius,24°00'00",25°53'20",Jupiter,Venus,Mercury
184,Sagittarius,25°53'20",26°40'00",Jupiter,Venus,Ketu
185,Sagittarius,26°40'00",27°20'00",Jupiter,Sun,Sun
186,Sagittarius,27°20'00",28°26'40",Jupiter,Sun,Moon
187,Sagittarius,28°26'40,29°13'20",Jupiter,Sun,Mars
188,Sagittarius,29°13'20",30°00'00",Jupiter,Sun,Rahu
189,Capricorn,00°00'00",01°13'20",Saturn,Sun,Rahu
190,Capricorn,01°13'20",03°00'00",Saturn,Sun,Jupiter
191,Capricorn,03°00'00",05°06'40",Saturn,Sun,Saturn
192,Capricorn,05°06'40",07°00'00",Saturn,Sun,Mercury
193,Capricorn,07°00'00",07°46'40",Saturn,Sun,Ketu
194,Capricorn,07°46'40",10°00'00",Saturn,Sun,Venus
195,Capricorn,10°00'00",11°06'40",Saturn,Moon,Moon
196,Capricorn,11°06'40",11°53'20",Saturn,Moon,Mars
197,Capricorn,11°53'20",13°53'20",Saturn,Moon,Rahu
198,Capricorn,13°53'20",15°40'00",Saturn,Moon,Jupiter
199,Capricorn,15°40'00",17°46'40",Saturn,Moon,Saturn
200,Capricorn,17°46'40,19°40'00",Saturn,Moon,Mercury
201,Capricorn,19°40'00",20°46'40",Saturn,Moon,Ketu
202,Capricorn,20°46'40",22°40'00",Saturn,Moon,Venus
203,Capricorn,22°40'00",23°20'00",Saturn,Moon,Sun
204,Capricorn,23°20'00",24°06'40",Saturn,Mars,Mars
205,Capricorn,24°06'40",26°06'40",Saturn,Mars,Rahu
206,Capricorn,26°06'40",27°53'20",Saturn,Mars,Jupiter
207,Capricorn,27°53'20",30°00'00",Saturn,Mars,Saturn
208,Aquarius,00°00'00",01°53'20",Saturn,Mars,Mercury
209,Aquarius,01°53'20",02°40'00",Saturn,Mars,Ketu
210,Aquarius,02°40'00",04°53'20",Saturn,Mars,Venus
211,Aquarius,04°53'20",05°33'20",Saturn,Mars,Sun
212,Aquarius,05°33'20",06°40'20",Saturn,Mars,Moon
213,Aquarius,06°40'20",08°40'00",Saturn,Rahu,Rahu
214,Aquarius,08°40'00",10°26'40",Saturn,Rahu,Jupiter
215,Aquarius,10°26'40",12°33'20",Saturn,Rahu,Saturn
216,Aquarius,12°33'20",14°26'40",Saturn,Rahu,Mercury
217,Aquarius,14°26'40",15°13'20",Saturn,Rahu,Ketu
218,Aquarius,15°13'20",17°26'40",Saturn,Rahu,Venus
219,Aquarius,17°26'40",18°06'40",Saturn,Rahu,Sun
220,Aquarius,18°06'40",19°13'20",Saturn,Rahu,Moon
221,Aquarius,19°13'20",20°00'00",Saturn,Rahu,Mars
222,Aquarius,20°00'00",21°46'40",Saturn,Jupiter,Jupiter
223,Aquarius,21°46'40",23°53'20",Saturn,Jupiter,Saturn
224,Aquarius,23°53'20",25°46'40",Saturn,Jupiter,Mercury
225,Aquarius,25°46'40",26°33'20",Saturn,Jupiter,Ketu
226,Aquarius,26°33'20",28°46'40",Saturn,Jupiter,Venus
227,Aquarius,28°46'40",29°26'40",Saturn,Jupiter,Sun
228,Aquarius,29°26'40",30°00'00",Saturn,Jupiter,Moon
229,Pisces,00°00'00",00°33'20",Jupiter,Jupiter,Moon
230,Pisces,00°33'20",01°20'00",Jupiter,Jupiter,Mars
231,Pisces,01°20'00",03°20'00",Jupiter,Jupiter,Rahu
232,Pisces,03°20'00",05°26'40",Jupiter,Saturn,Saturn
233,Pisces,05°26'40",07°20'00",Jupiter,Saturn,Mercury
234,Pisces,07°20'00",08°06'40",Jupiter,Saturn,Ketu
235,Pisces,08°06'40",10°20'00",Jupiter,Saturn,Venus
236,Pisces,10°20'00",11°00'00",Jupiter,Saturn,Sun
237,Pisces,11°00'00",12°06'40",Jupiter,Saturn,Moon
238,Pisces,12°06'40",12°53'20",Jupiter,Saturn,Mars
239,Pisces,12°53'20",14°53'20",Jupiter,Saturn,Rahu
240,Pisces,14°53'20",16°40'00",Jupiter,Saturn,Jupiter
241,Pisces,16°40'00",18°33'20",Jupiter,Mercury,Mercury
242,Pisces,18°33'20",19°20'00",Jupiter,Mercury,Ketu
243,Pisces,19°20'00",21°33'20",Jupiter,Mercury,Venus
244,Pisces,21°33'20",22°13'20",Jupiter,Mercury,Sun
245,Pisces,22°13'20",23°20'00",Jupiter,Mercury,Moon
246,Pisces,23°20'00",24°06'40",Jupiter,Mercury,Mars
247,Pisces,24°06'40",26°06'40",Jupiter,Mercury,Rahu
248,Pisces,26°06'40",27°53'20",Jupiter,Mercury,Jupiter
249,Pisces,27°53'20,30°00'00",Jupiter,Mercury,Saturn
